dtcode11,dtname,Pct_Pop_Below_Poverty,Avg_Household_Income,Pct_Urban_Pop,Literacy_Rate,Pct_HH_No_Toilet,Pct_HH_Overcrowded,Pct_HH_Electricity,Pct_HH_Clean_Cooking_Fuel,Air_Quality_Index_Avg,Health_Insurance_Coverage,Primary_Health_Centers_Per_100k
56,Uttarkashi,44.900394530700616,12297.993028284043,34.01744416580172,54.98143299633602,42.796570909546624,39.3787650782065,56.82118650037627,40.58045710311934,164.3276761190169,32.99977342963732,2.2715200486919924
57,Chamoli,24.80986882138507,30651.04931356541,49.686669345803736,65.13130843371073,25.829180535266403,5.3429883816575785,76.45448133291079,63.690065788924684,111.72684806752085,65.6672517105912,4.556589534865122
60,Dehradun,32.31972071459614,19453.152968755137,43.5077038211938,63.127251797674134,39.06945297627048,25.760649105727023,68.7068983268395,58.566400825237764,139.60825899039384,51.713797697189314,2.988189330622634
59,Tehri Garhwal,36.78491994619561,18341.935169391687,22.44521975009333,52.92644799518501,47.3680981106477,34.55541826318337,43.577297600826434,47.61751562440378,190.9619501436787,45.91337872158017,1.9214502552709523
58,Rudraprayag,29.71612708297381,23848.87485584088,32.57504043372865,61.34132269315841,37.93242301042962,32.57485275524469,61.747328088978236,48.02149646118445,152.0479431064702,38.724225133029165,2.2508386106351703
62,Pithoragarh,27.519234531098245,33600.24208699182,42.5126622619188,70.19148958783748,35.532220121003114,19.639832609964785,60.86450275971089,57.645277682288544,111.37171584994263,56.41872834737638,3.7420403532724222
63,Bageshwar,18.820265814796464,44238.64132856429,59.42498499274249,79.4039691390367,19.548914064925714,9.953118601428542,82.53990659775434,69.79545734342511,94.26412948237987,68.35570101576654,4.526725541797003
68,Hardwar,22.17924767744397,28494.896806283956,53.79875567289702,74.95505379649468,24.88619308027593,24.383543509788677,65.47932583464159,72.11162917229584,126.28249323832208,53.08831883923596,3.6691632830631935
61,Garhwal,14.752144755754344,39063.60474253942,57.93725544754691,77.01428060984107,23.555446644092168,9.40987090127802,65.00789465599256,80.45160331172673,103.79447020817523,62.02744015060503,3.5054207262544077
64,Almora,32.52162576467878,27644.699400029698,40.93016471074032,57.25015772236655,40.16663819986824,27.405658442770427,49.3956532268214,56.94645939296419,149.56529664073497,40.75250982118463,2.706067830662911
66,Nainital,34.4475231209982,16540.43903092612,29.52805978293928,65.86267243772122,41.01297287712446,18.80252836869586,58.279162209666424,46.007412064370136,152.21896972962966,49.87888114022832,3.1863926482972933
65,Champawat,26.43001986896676,40725.26845295963,58.558288088024334,78.88348535549862,15.941233303150549,14.64538058446557,82.71529921937164,76.7247566617862,89.77245096091323,67.41249120138069,4.111849696380281
67,Udham Singh Nagar,9.18326278959892,37779.36024125037,61.57210062482101,75.78643869479599,21.288927614549884,12.936179833406232,88.46937734950035,78.82471248880104,85.24713333433598,72.68245550582105,5.072361576936773
